x,water,Na+,Cl-
0.0,0.0312920190126,8.75428916888e-73,7.28136631058e-57
0.00018016753381,0.0312923898131,7.89580343492e-73,6.55109971112e-57
0.000360270158635,0.031292999,7.61987836951e-73,6.30549366472e-57
0.000540307909544,0.0312937288206,7.43364725212e-73,6.13460687846e-57
0.000720280821584,0.0312945398689,7.29203228838e-73,6.00093148864e-57
0.000900188929774,0.0312954104125,7.17796680536e-73,5.89025930938e-57
0.00108003226911,0.0312963263786,7.08287539839e-73,5.79544672703e-57
0.00125981087456,0.0312972778155,7.00176016908e-73,5.71232737579e-57
0.00143952478108,0.0312982572762,6.93142296334e-73,5.63823315428e-57
0.00161917402357,0.0312992589618,6.86968026071e-73,5.57134094457e-57
0.00179875863694,0.0313002782206,6.81496829848e-73,5.51034397078e-57
0.00197827865605,0.0313013112357,6.76612519534e-73,5.45427042524e-57
0.00215773411575,0.031302354816,6.72226205495e-73,5.40237613886e-57
0.00233712505086,0.0313034062544,6.68268243285e-73,5.354077504e-57
0.00251645149617,0.0313044632247,6.64682975835e-73,5.30890766814e-57
0.00269571348645,0.0313055237074,6.61425174072e-73,5.26648686902e-57
0.00287491105644,0.0313065859326,6.58457552931e-73,5.22650172543e-57
0.00305404424087,0.0313076483372,6.55748992373e-73,5.1886904006e-57
0.00323311307443,0.0313087095312,6.5327323454e-73,5.15283173257e-57
0.00341211759179,0.0313097682707,6.51007910845e-73,5.11873711429e-57
0.00359105782759,0.0313108234367,6.48933802908e-73,5.08624432297e-57
0.00376993381645,0.0313118740174,6.47034272535e-73,5.05521275895e-57
0.00394874559297,0.031312919094,6.45294816073e-73,5.02551972192e-57
0.00412749319172,0.0313139578291,6.4370271174e-73,4.99705746289e-57
0.00430617664724,0.0313149894561,6.42246737433e-73,4.9697308242e-57
0.00448479599405,0.0313160132714,6.40916942668e-73,4.94345533152e-57
0.00466335126665,0.031317028627,6.39704462575e-73,4.91815563698e-57
0.0048418424995,0.0313180349248,6.38601364926e-73,4.89376423822e-57
0.00502026972707,0.0313190316106,6.37600523353e-73,4.87022041624e-57
0.00519863298375,0.0313200181704,6.36695511527e-73,4.84746934854e-57
0.00537693230396,0.031320994126,6.35880514252e-73,4.82546136361e-57
0.00555516772207,0.0313219590318,6.35150252311e-73,4.80415131046e-57
0.00573333927242,0.0313229124715,6.34499918583e-73,4.78349802246e-57
0.00591144698933,0.0313238540559,6.33925123439e-73,4.76346385883e-57
0.00608949090711,0.0313247834199,6.33421847853e-73,4.74401431074e-57
0.00626747106002,0.0313257002213,6.32986402939e-73,4.72511766121e-57
0.00644538748232,0.0313266041381,6.32615394885e-73,4.70674469025e-57
0.00662324020824,0.0313274948671,6.32305694441e-73,4.68886841814e-57
0.00680102927196,0.031328372123,6.32054410265e-73,4.67146388112e-57
0.00697875470767,0.031329235636,6.3185886555e-73,4.65450793447e-57
0.00715641654951,0.0313300851516,6.31716577466e-73,4.63797907939e-57
0.00733401483162,0.0313309204289,6.31625239008e-73,4.62185730995e-57
0.0075115495881,0.0313317412397,6.31582702928e-73,4.60612397751e-57
0.00768902085302,0.031332547368,6.31586967465e-73,4.59076167042e-57
0.00786642866044,0.0313333386085,6.31636163632e-73,4.57575410658e-57
0.00804377304438,0.0313341147665,6.31728543871e-73,4.56108603766e-57
0.00822105403886,0.031334875657,6.31862471893e-73,4.54674316324e-57
0.00839827167785,0.031335621104,6.32036413557e-73,4.53271205366e-57
0.00857542599531,0.0313363509398,6.32248928675e-73,4.51898008072e-57
0.00875251702517,0.0313370650048,6.32498663612e-73,4.505535355e-57
0.00892954480134,0.0313377631468,6.32784344663e-73,4.4923666699e-57
0.0091065093577,0.0313384452209,6.33104771793e-73,4.47946344826e-57
0.00928341072811,0.0313391110883,6.33458813466e-73,4.46681569895e-57
0.00946024894641,0.031339760617,6.33845401451e-73,4.4544139726e-57
0.00963702404641,0.0313403936803,6.34263526339e-73,4.44224932352e-57
0.00981373606189,0.0313410101577,6.34712233398e-73,4.43031327462e-57
0.00999038502662,0.0313416099333,6.35190618795e-73,4.41859778518e-57
0.0101669709743,0.0313421928966,6.35697826136e-73,4.40709522156e-57
0.0103434939387,0.0313427589417,6.3623304329e-73,4.39579833013e-57
0.0105199539536,0.0313433079672,6.36795499484e-73,4.38470021255e-57
0.0106963510524,0.0313438398757,6.37384462621e-73,4.37379430296e-57
0.010872685269,0.0313443545742,6.37999236823e-73,4.36307434704e-57
0.0110489566369,0.0313448519733,6.38639160158e-73,4.35253438261e-57
0.0112251651897,0.0313453319871,6.39303602544e-73,4.3421687218e-57
0.0114013109609,0.0313457945335,6.39991963813e-73,4.33197193454e-57
0.0115773939843,0.0313462395333,6.40703671922e-73,4.32193883321e-57
0.0117534142931,0.031346666911,6.4143818129e-73,4.31206445853e-57
0.011929371921,0.0313470765935,6.42194971261e-73,4.30234406636e-57
0.0121052669015,0.0313474685108,6.42973544676e-73,4.29277311551e-57
0.0122810992679,0.0313478425958,6.43773426541e-73,4.28334725636e-57
0.0124568690538,0.0313481987838,6.44594162795e-73,4.27406232031e-57
0.0126325762924,0.0313485370126,6.45435319158e-73,4.26491430988e-57
0.0128082210172,0.0313488572225,6.46296480057e-73,4.25589938954e-57
0.0129838032616,0.0313491593561,6.47177247625e-73,4.24701387713e-57
0.0131593230589,0.031349443358,6.48077240765e-73,4.23825423582e-57
0.0133347804423,0.0313497091751,6.4899609428e-73,4.22961706662e-57
0.0135101754452,0.0313499567562,6.49933458045e-73,4.22109910133e-57
0.0136855081009,0.0313501860522,6.50888996252e-73,4.21269719599e-57
0.0138607784425,0.0313503970157,6.51862386683e-73,4.20440832465e-57
0.0140359865033,0.031350589601,6.5285332004e-73,4.19622957362e-57
0.0142111323165,0.0313507637642,6.53861499311e-73,4.18815813601e-57
0.0143862159153,0.0313509194633,6.54886639175e-73,4.18019130659e-57
0.0145612373327,0.0313510566574,6.55928465446e-73,4.17232647702e-57
0.0147361966019,0.0313511753077,6.56986714543e-73,4.16456113127e-57
0.014911093756,0.0313512753762,6.58061132995e-73,4.15689284134e-57
0.0150859288281,0.031351356827,6.59151476977e-73,4.14931926328e-57
0.0152607018513,0.0313514196249,6.60257511869e-73,4.14183813335e-57
0.0154354128585,0.0313514637366,6.61379011836e-73,4.13444726445e-57
0.0156100618827,0.0313514891297,6.62515759443e-73,4.12714454269e-57
0.015784648957,0.0313514957732,6.6366754528e-73,4.11992792426e-57
0.0159591741142,0.031351483637,6.6483416761e-73,4.11279543232e-57
0.0161336373874,0.0313514526926,6.66015432043e-73,4.10574515417e-57
0.0163080388094,0.0313514029122,6.67211151217e-73,4.09877523852e-57
0.0164823784131,0.0313513342693,6.68421144503e-73,4.09188389292e-57
0.0166566562314,0.0313512467382,6.69645237725e-73,4.0850693813e-57
0.0168308722971,0.0313511402945,6.70883262889e-73,4.07833002169e-57
0.0170050266431,0.0313510149145,6.72135057933e-73,4.07166418398e-57
0.0171791193021,0.0313508705754,6.73400466485e-73,4.06507028783e-57
0.0173531503068,0.0313507072555,6.74679337635e-73,4.05854680073e-57
0.0175271196902,0.031350524934,6.75971525717e-73,4.05209223606e-57
